
8.373937906460602E-04,  7.137428429970318E+03,  9.818952462740749E+01,  3.037607976469795E+02,  9.543316159222471E+01,  2.460658523400589E+06,  5.991466362491447E-02,  2.388638777427626E+02,  2.387817875680657E+02,  7.143410277380634E+03,  7.149392124790951E+03,  6.008545791957017E+03,
1.417155503221316E-03,  7.136136851205979E+03,  9.818786205622698E+01,  3.037614509074843E+02,  7.489282472470892E+01,  2.460658519428411E+06,  5.987877581009633E-02,  2.954138701301582E+02,  2.952670792827051E+02,  7.146264218871225E+03,  7.156391586536472E+03,  6.012146960748310E+03,
1.224927902820441E-03,  7.128641922789269E+03,  9.819306918526235E+01,  3.037646810532281E+02,  1.271165892421659E+02,  2.460658529482818E+06,  5.999055200159251E-02,  2.791738007811949E+02,  2.790351960722240E+02,  7.137384704466935E+03,  7.146127486144600E+03,  6.000944948638637E+03,
5.428184537789339E-04,  7.125168904304175E+03,  9.819797488520756E+01,  3.037753233583748E+02,  2.343948479556268E+02,  2.460658550145086E+06,  6.009593000495651E-02,  2.078049275108896E+02,  2.077759298101107E+02,  7.129038678056329E+03,  7.132908451808482E+03,  5.990422312630962E+03,
2460658.527777778, A.D. 2024-Dec-14 00:40:00.0000,  9.312007183312027E-04,  7.126132956219965E+03,  9.819580109965956E+01,  3.037879611727114E+02,  1.698612784797317E+01,  2.460658508290683E+06,  6.004871659494130E-02,  1.011031236284987E+02,  1.012078105079776E+02,  7.132775001424989E+03,  7.139417046630012E+03,  5.995132292807863E+03,
2460658.534722222, A.D. 2024-Dec-14 00:50:00.0000,  1.479727953592159E-03,  7.132853115585509E+03,  9.818957061618515E+01,  3.037944108175136E+02,  8.556447029171306E+01,  2.460658521494198E+06,  5.991449803842933E-02,  6.847635749556730E+01,  6.863420438733053E+01,  7.143423438932441E+03,  7.153993762279373E+03,  6.008562397853939E+03,
2460658.541666667, A.D. 2024-Dec-14 01:00:00.0000,  9.986669574478637E-04,  7.139117217460374E+03,  9.818790592156837E+01,  3.037950615678195E+02,  1.095547581170668E+02,  2.460658526107538E+06,  5.987890493614893E-02,  8.049573478128937E+01,  8.060862591576632E+01,  7.146253945144920E+03,  7.153390672829466E+03,  6.012133995835115E+03,
2460658.548611111, A.D. 2024-Dec-14 01:10:00.0000,  1.537252728622929E-03,  7.126427840321130E+03,  9.819309881611883E+01,  3.037982917632706E+02,  5.981205334105982E+01,  2.460658516541494E+06,  5.999036133352049E-02,  1.662221869308718E+02,  1.662640616678692E+02,  7.137399827681506E+03,  7.148371815041883E+03,  6.000964021512648E+03,
2460658.555555556, A.D. 2024-Dec-14 01:20:00.0000,  2.769215603167566E-03,  7.109341824240229E+03,  9.819800724414519E+01,  3.038088943441678E+02,  8.252360462644694E+01,  2.460658521000050E+06,  6.009535953203240E-02,  1.794204448569307E+02,  1.794236435551678E+02,  7.129083794319748E+03,  7.148825764399267E+03,  5.990479178481503E+03,
2460658.562500000, A.D. 2024-Dec-14 01:30:00.0000,  2.223980483576722E-03,  7.116819321360516E+03,  9.819590382194400E+01,  3.038215323344722E+02,  1.125455987883242E+02,  2.460658596174175E+06,  6.004988766283587E-02,  1.852879301416069E+02,  1.852645078549958E+02,  7.132682267519031E+03,  7.148545213677545E+03,  5.995015378235245E+03,
2460658.569444444, A.D. 2024-Dec-14 01:40:00.0000,  8.424717730258490E-04,  7.137264603156931E+03,  9.818968668893416E+01,  3.038280792226403E+02,  9.662015315593388E+01,  2.460658593172769E+06,  5.991626976784097E-02,  2.371640266267450E+02,  2.370829573686143E+02,  7.143282617128607E+03,  7.149300631100283E+03,  6.008384724130871E+03,
2460658.576388889, A.D. 2024-Dec-14 01:50:00.0000,  1.410951699145025E-03,  7.136236146542936E+03,  9.818791705837452E+01,  3.038287637339428E+02,  7.440847570373145E+01,  2.460658588878571E+06,  5.987808405681343E-02,  2.953850495791609E+02,  2.952388670221181E+02,  7.146319257842421E+03,  7.156402369141907E+03,  6.012216417252519E+03,
2460658.583333333, A.D. 2024-Dec-14 02:00:00.0000,  1.234233243938035E-03,  7.128737410007941E+03,  9.819306143306038E+01,  3.038319005002716E+02,  1.261027318428863E+02,  2.460658598831011E+06,  5.998850831649438E-02,  2.796754267453807E+02,  2.795359698014457E+02,  7.137546807557993E+03,  7.146356205108044E+03,  6.001149388490709E+03,
2460658.590277778, A.D. 2024-Dec-14 02:10:00.0000,  5.475717452308192E-04,  7.125179631202063E+03,  9.819803582561853E+01,  3.038424535303416E+02,  2.321060726341341E+02,  2.460658619247480E+06,  6.009536558269232E-02,  2.095823665390518E+02,  2.095514083413877E+02,  7.129083315795190E+03,  7.132987000388317E+03,  5.990478575334290E+03,
2460658.597222222, A.D. 2024-Dec-14 02:20:00.0000,  9.207334198634739E-04,  7.126072974203616E+03,  9.819596729506262E+01,  3.038551299213901E+02,  1.564601473827630E+01,  2.460658577576016E+06,  6.005041848004029E-02,  1.019315134121008E+02,  1.020347176155299E+02,  7.132640234439328E+03,  7.139207494675041E+03,  5.994962385144038E+03,
2460658.604166667, A.D. 2024-Dec-14 02:30:00.0000,  1.477933487145244E-03,  7.132738227787633E+03,  9.818973291641333E+01,  3.038616924709848E+02,  8.483048433734201E+01,  2.460658590896281E+06,  5.991610713315845E-02,  6.869748955815123E+01,  6.885538264751651E+01,  7.143295543479918E+03,  7.153852859172202E+03,  6.008401033130050E+03,
